,0
solo_umid_0_1cm,0.6508779171432222
pm10,0.10211348754042625
chuva_mm,0.08271769627613101
pm25,0.05522980537665806
temperatura,0.01921360585320008
so2,0.018254152906441314
vento_dir,0.016192361621085553
ponto_orvalho,0.011026237840731142
o3,0.0090326328241632
umidade,0.007560091959830187
evapotranspiracao,0.00710023951962425
uv,0.006972209350668041
no2,0.0028943908897253903
rad_solar,0.0027931343744237837
solo_temp_0cm,0.001827119998431539
co,0.0014807252229862026
rajadas,0.00142132445444068
pressao,0.001145112176586197
rad_direta,0.0010960396512948892
vento_m_s,0.0010517150199300296
